SK_ID_CURR,TARGET,AMT_INCOME_TOTAL,AMT_CREDIT_SUM
100002,1,202500,40761
100032,0,112500,152910
100043,0,198000,306000
100048,0,202500,22905
100050,0,108000,157282.4
100059,0,540000,87066
100060,0,76500,80979.84
100061,0,225000,37741.5
100062,0,81000,127626.1
100069,0,360000,57469.5
100076,0,180000,1350000
100078,0,180000,292500
100084,0,225000,98100
100099,0,360000,45531
100100,0,202500,16911.45
100112,1,315000,18000
100131,0,270000,405000
100132,0,202500,675000
100135,0,135000,125509.5
100138,0,135000,0
100139,0,157500,41755.5
100142,0,360000,49747.5
100146,0,117000,121500
100148,0,247500,832500
100149,0,171000,58477.5
100156,0,157500,21235.5
100157,0,180000,40860
100160,1,292500,373500
100161,0,90000,0
100162,0,112500,39544.83
100163,0,130500,18895.5
100167,0,180000,310644
100176,0,135000,200655
100180,0,315000,95904
100188,0,225000,450000
100201,0,180000,33871.5
100211,0,225000,450000
100218,0,337500,108000
100221,0,225000,186750
100237,0,144000,63000
100239,0,225000,76936.5
100247,0,225000,0
100252,0,225000,900000
100255,0,315000,150391.8
100264,0,121500,152858.7
100265,0,112500,75555
100267,0,225000,137430
100269,0,180000,202500
100276,0,135000,225000
100283,0,135000,25506
100284,0,180000,71955
100289,0,202500,180000
100292,0,202500,135000
100294,0,157500,180000
100298,0,270000,450000
100301,1,112500,13500
100307,0,225000,666000
100318,0,90000,8793
100327,0,180000,798403.5
100332,0,157500,135000
100333,0,382500,1611000
100346,0,180000,106083
100348,0,135000,0
100349,0,108000,31500
100362,0,157500,225000
100363,0,360000,1798605
100365,0,247500,151609.5
100373,0,225000,135000
100393,0,405000,1100300
100396,1,112500,135000
100403,0,315000,123727.5
100406,0,135000,261000
100414,0,112500,35746.65
100415,0,112500,0
100417,0,180000,135000
100418,0,135000,288000
100423,0,472500,90000
100432,0,90000,48658
100437,0,67500,28550.21
100439,1,81000,23310
100443,0,144000,83632.5
100449,0,157500,225000
100451,0,144000,135000
100455,0,135000,202500
100464,0,112500,0
100473,0,405000,594000
100478,0,90000,27386.78
100493,0,270000,229500
100496,0,450000,45000
100498,0,112500,675000
100501,0,247500,450000
100511,0,85500,243000
100515,0,157500,4500
100519,0,112500,43686
100522,0,180000,159205.5
100523,0,225000,90000
100530,0,135000,50795.1
100538,0,157500,25205.85
100541,1,180000,100980
100554,0,225000,692100
100557,0,225000,0
100564,0,180000,44595
100566,0,117000,90000
100571,0,292500,1350000
100581,0,270000,84424.5
100588,0,157500,184500
100589,0,103500,53996.81
100595,0,247500,489240
100596,0,117000,63522
100599,0,315000,67500
100605,0,229500,1962270
100612,0,157500,360000
100619,0,99000,0
100620,0,225000,135000
100626,0,337500,1350000
100645,0,247500,17820
100646,1,216000,189000
100650,1,135000,50584.5
100652,0,130500,225000
100653,0,247500,97244.91
100654,0,135000,450000
100669,0,81000,135000
100670,0,112500,270000
100672,1,112500,1090800
100673,0,225000,1262250
100674,0,157500,168885
100679,0,72000,30739.5
100681,0,180000,589500
100685,0,265500,76140
100686,0,135000,306000
100689,0,63000,14976
100697,0,225000,225000
100712,0,540000,225000
100714,1,99000,243765
100718,0,234000,589500
100719,0,292500,118354.5
100722,0,540000,900000
100732,0,225000,105057
100734,0,157500,31626
100757,0,180000,90000
100771,0,288000,47250
100776,0,225000,47790
100778,0,202500,344521.8
100779,0,135000,469350
100794,0,49500,124560
100796,1,405000,0
100804,0,157500,94563
100807,0,180000,108501.3
100818,0,225000,157302
100822,0,225000,1080000
100831,0,67500,84226.5
100840,1,135000,742500
100842,0,247500,25605
100845,0,67500,67500
100855,0,270000,46534.5
100858,0,270000,22455
100861,0,306000,90441
100862,0,180000,30996
100866,0,225000,337500
100871,0,90288,38065.5
100878,0,247500,180000
100879,1,450000,1057500
100882,0,213750,15300
100886,0,315000,360000
100896,1,112500,270000
100897,0,135000,213300
100902,1,117000,32625
100916,0,180000,216000
100920,0,112500,755955
100921,0,112500,90000
100926,0,90000,113661
100935,0,225000,23175
100937,0,270000,1716750
100944,0,189000,225000
100948,0,112500,675000
100968,0,90000,123124.5
100972,0,202500,135000
100985,0,225000,1170000
100995,0,157500,135000
101000,0,157500,1350000
101004,0,112500,29520
101012,0,112500,70303.5
101022,0,112500,225000
101033,0,99000,22120.92
101034,0,112500,303030
101037,0,247500,180000
101038,0,180000,48082.5
101040,0,157500,1161000
101063,1,202500,24264
101071,0,135000,90315
101073,1,540000,121779
101074,0,173250,0
101076,1,126000,135000
101084,0,157500,675000
101096,1,112500,90000
101098,0,180000,119565
101104,0,124200,292500
101117,0,144000,167917.5
101127,1,211500,162000
101134,0,135000,247500
101142,1,135000,27000
101147,1,315000,135000
101153,0,225000,90000
101154,0,144000,80131.5
101156,0,180000,472500
101168,0,130500,432000
101174,0,157500,81229.5
101176,0,157500,163075.5
101179,0,225000,17505
101191,0,202500,0
101218,0,522000,450000
101221,0,54000,112500
101234,0,180000,225000
101253,0,112500,29645.78
101254,0,166500,139500
101263,0,67500,112500
101265,0,99000,868500
101266,0,135000,110934
101272,0,135000,103858.2
101278,0,135000,0
101280,0,157500,99976.5
101286,1,202500,21888
101293,0,180000,207409.5
101302,0,202500,13455
101311,0,103500,31785.84
101320,0,135000,133213.5
101323,0,180000,18900
101328,0,202500,36000
101342,0,202500,89055
101369,0,171000,135000
101373,1,175500,88353
101377,0,135000,286578
101384,0,112500,71775
101385,0,157500,758250
101407,0,135000,90000
101413,0,67050,225000
101414,0,135000,328500
101419,0,126000,90000
101421,0,135000,20839.5
101430,0,247500,29118.87
101433,0,315000,630000
101435,0,292500,155520
101437,0,315000,229009.5
101447,0,292500,67500
101450,0,135000,46568.16
101453,0,270000,22500
101458,1,202500,1611000
101461,0,810000,1372500
101468,0,247891.5,0
101479,0,202500,225000
101484,1,135000,723150
101485,0,180000,34100.96
101494,0,67500,135000
101495,1,81000,274500
101501,0,112500,19201.5
101524,0,202500,225000
101525,0,135000,544500
101527,0,76500,77391
101529,0,225000,17786.38
101531,1,90000,595475.3
101534,0,108000,72414
101536,0,198000,115515
101549,0,247500,1350000
101557,0,247500,37768.5
101585,0,157500,110416.5
101589,0,140850,562500
101595,0,90000,120150
101597,0,252000,192721.5
101601,0,180000,187839
101603,0,157500,113895
101612,0,81000,206262
101613,0,126000,225000
101623,0,63000,67500
101627,0,135000,13905
101632,0,225000,128592
101634,0,112500,234000
101655,0,270000,160672.5
101661,0,76500,225000
101677,0,270000,125905.5
101679,0,225000,59175
101718,0,157500,450000
101720,0,112500,23800.54
101721,1,175500,284454
101729,0,126000,135000
101734,0,180000,135000
101744,0,135000,0
101753,0,112500,93060
101756,0,202500,120892.5
101768,0,135000,45000
101790,0,135000,25573.5
101800,0,112500,270000
101801,0,180000,2025000
101802,0,225000,71995.5
101806,0,112500,113400
101807,0,99000,567000
101809,0,180000,315000
101821,0,202500,35383.5
101823,0,112500,162954
101831,0,144000,108000
101837,0,450000,3055545
101842,1,112500,96160.5
101843,0,234135,270000
101847,0,171000,1292837
101849,0,112500,225000
101852,0,292500,351000
101853,0,247500,747000
101859,1,220500,229050
101862,0,180000,15705
101869,0,112500,270000
101871,1,202500,28885.14
101875,0,157500,945000
101882,0,171000,98217
101898,0,216000,97020
101904,0,135000,382500
101907,0,450000,67459.5
101912,0,270000,540000
101915,0,315000,67500
101931,0,292500,65047.5
101936,0,225000,315000
101941,0,54000,225000
101947,0,360000,193455
101949,0,180000,90000
101954,0,153000,324000
101955,0,180000,540000
101963,0,76500,123930
101970,1,315000,45000
101974,0,157500,135000
101977,0,135000,49500
101982,0,315000,4500000
101987,0,135000,337500
101997,0,225000,463500
102011,0,135000,14040
102012,0,157500,202500
102014,0,135000,225000
102028,1,126000,180000
102035,0,67500,450000
102039,0,360000,1.134e+07
102044,0,135000,180000
